"Reference period","All industries  [T001] 4","Goods-producing industries  [T002] 4","Service-producing industries  [T003] 4","Business sector industries  [T004]","Non-business sector industries  [T007]","Industrial production  [T010] 4","Non-durable manufacturing industries  [T011] 4","Durable manufacturing industries  [T012] 4","Information and communication technology sector  [T013] 4","Energy sector  [T016] 4","Industrial production (1950 definition)  [T017] 4","Public Sector  [T018] 4","Content and media sector  [T019] 4","All industries (except cannabis sector)  [T020] 4","Cannabis sector  [T021] 4","All industries (except unlicensed cannabis sector)  [T024] 4","Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]","Utilities  [22]","Construction  [23]","Manufacturing  [31-33]","Wholesale trade  [41]","Retail trade  [44-45]","Transportation and warehousing  [48-49]","Information and cultural industries  [51]","Finance and insurance  [52]","Real estate and rental and leasing  [53]","Professional, scientific and technical services  [54]","Management of companies and enterprises  [55]","Administrative and support, waste management and remediation services  [56]","Educational services  [61]","Health care and social assistance  [62]","Arts, entertainment and recreation  [71]","Accommodation and food services  [72]","Other services (except public administration)  [81]","Public administration  [91]","All industries  [T001] 4","Goods-producing industries  [T002] 4","Service-producing industries  [T003] 4","Business sector industries  [T004]","Non-business sector industries  [T007]","Industrial production  [T010] 4","Non-durable manufacturing industries  [T011] 4","Durable manufacturing industries  [T012] 4","Information and communication technology sector  [T013] 4","Energy sector  [T016] 4","Industrial production (1950 definition)  [T017] 4","Public Sector  [T018] 4","Content and media sector  [T019] 4","All industries (except cannabis sector)  [T020] 4","Cannabis sector  [T021] 4","All industries (except unlicensed cannabis sector)  [T024] 4","Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]","Utilities  [22]","Construction  [23]","Manufacturing  [31-33]","Wholesale trade  [41]","Retail trade  [44-45]","Transportation and warehousing  [48-49]","Information and cultural industries  [51]","Finance and insurance  [52]","Real estate and rental and leasing  [53]","Professional, scientific and technical services  [54]","Management of companies and enterprises  [55]","Administrative and support, waste management and remediation services  [56]","Educational services  [61]","Health care and social assistance  [62]","Arts, entertainment and recreation  [71]","Accommodation and food services  [72]","Other services (except public administration)  [81]","Public administration  [91]"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 2021","1,982,049","562,260","1,416,195","1,622,905","358,841","389,570","90,135","96,722","104,849","175,939","382,681","389,839","13,238","1,972,875","10,578","1,977,859","35,503","158,310","41,691","144,305","186,955","102,786","104,791","73,576","68,903","150,313","264,522","127,958","2,834","47,596","106,083","146,018","10,134","38,269","36,152","137,616","1,994,821","573,207","1,421,614","1,634,901","359,920","399,353","90,599","98,414","103,965","179,585","392,568","390,501","13,623","1,984,508","10,313","1,991,214","35,353","161,908","41,647","145,286","189,013","103,700","105,354","73,232","69,368","151,526","263,980","128,519","2,853","47,685","106,219","146,165","10,221","38,244","36,431","138,117"
"September 2021","1,986,866","560,478","1,422,528","1,625,526","360,970","388,949","88,975","94,982","105,690","177,825","382,006","392,350","13,085","1,977,470","10,900","1,982,701","35,258","161,974","41,499","143,484","184,060","103,283","104,428","73,919","68,971","150,742","264,922","129,647","2,778","47,631","106,651","146,310","10,720","38,029","36,530","139,266","2,000,033","572,548","1,427,485","1,637,919","362,114","399,753","89,521","96,528","104,724","182,139","392,929","393,037","13,491","1,989,403","10,630","1,996,438","35,183","165,488","41,392","144,436","186,049","104,268","104,953","73,572","69,405","151,706","264,395","130,081","2,805","47,670","106,772","146,426","10,816","37,977","36,800","139,839"
"October 2021","2,002,930","568,381","1,430,917","1,642,263","360,550","393,684","90,076","96,794","106,848","179,444","386,751","392,153","13,200","1,993,101","11,488","1,998,784","36,212","163,491","41,733","145,682","186,966","104,451","105,412","75,187","69,409","151,467","266,966","130,881","2,718","47,828","107,080","146,690","11,505","37,779","36,745","138,277","2,016,265","580,576","1,435,689","1,654,567","361,698","404,224","90,613","98,323","105,807","184,318","397,401","392,799","13,608","2,005,060","11,205","2,012,684","36,295","166,818","41,647","146,880","188,936","105,533","105,902","74,458","69,836","152,384","266,230","131,336","2,757","47,852","107,212","146,826","11,801","37,775","37,026","138,761"
"November 2021","2,014,598","571,126","1,439,777","1,653,151","361,476","393,755","90,998","98,565","107,343","176,268","386,796","393,309","13,276","2,004,319","12,172","2,010,452","38,189","160,516","41,114","146,445","189,650","107,397","105,619","75,498","69,742","152,089","267,318","131,595","2,665","48,033","107,401","147,151","12,131","39,054","36,911","138,652","2,028,549","583,642","1,444,907","1,665,830","362,719","404,355","91,268","100,213","106,305","180,693","397,518","393,991","13,693","2,016,667","11,882","2,024,982","38,596","164,979","41,058","147,528","191,481","108,502","105,999","74,822","70,166","152,969","266,662","132,070","2,712","48,074","107,543","147,304","12,642","39,092","37,206","139,144"




Footnotes:
1,"Aggregates are not always equal to the sum of their components."
2,"At the lowest level of detail, it may not be possible to produce a homogeneous series from 1997 to the present. Only industries and certain aggregates that provide good continuity back to 1997 have data from 1997 to 2006."
3,"Effective November 30, 2018 the data is presented on a 2012 reference year basis."
4,"The alphanumeric code appearing in square brackets beside the industry title represents the identification code of an aggregation of NAICS industries, whose definition is included in the full classification provided in the definitions, data sources and methods for the statistical program 1301 - Gross domestic product by Industry - National (Monthly)."



"How to cite: Statistics Canada. Table 36-10-0434-01  Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043401
