Geography 2,Sex,Age group,Reference period,Total unemployed,Temporary layoff,Job searchers,Worked,Job leavers,Job losers permanent layoff,Reason for leaving/losing job unknown,Were not in the labour force,Kept house,Attended school,Other reasons,Future starts
,,,2021,14,0.8,12.5,7.6,1.2,4,2.4,4.8,2.6,0.6,1.6,0.7
,,25 to 54 years,2019,7.6,x,6.9,4,0.9,2.5,0.6,2.9,1.9,x,0.6,x
,,,2020,11.8,2.4,9,4.9,1,3.5,x,4,2.2,0.7,1.1,0.5
,,,2021,9,0.5,8,4.7,1,2.5,1.2,3.3,2,0.6,0.7,0.5
,,55 years and over,2019,3,x,2.3,1.1,x,0.7,x,1.2,0.6,x,0.5,x
,,,2020,4.8,1.1,3.5,2.1,x,1.5,x,1.3,0.8,x,0.5,x
,,,2021,5,x,4.4,2.9,x,1.5,1.2,1.5,0.6,x,0.9,x
,,55 to 64 years,2019,2.4,x,1.8,0.9,x,0.6,x,0.9,0.5,x,x,x
,,,2020,4.1,1,2.9,1.8,x,1.3,x,1.1,0.7,x,x,x
,,,2021,4.1,x,3.6,2.4,x,1.2,1,1.2,x,x,0.7,x
,,65 years and over,2019,0.6,x,x,x,x,x,x,x,x,x,x,x
,,,2020,0.7,x,0.6,x,x,x,x,x,x,x,x,x
,,,2021,1,x,0.9,0.6,x,x,x,x,x,x,x,x
New Brunswick,Males,15 years and over,2019,19.6,1.8,16.5,10.3,1.2,7.7,1.3,6.2,2,2.3,2,1.3
,,,2020,23.8,4.3,18.2,11.6,1.2,8.8,1.6,6.7,1.6,3,2,1.2
,,,2021,21.4,1.8,18,11.2,1.6,6.8,2.8,6.8,2.3,2.8,1.7,1.5
,,15 to 24 years,2019,4.4,x,4,1.5,x,1,x,2.6,x,2,x,x
,,,2020,5.4,0.8,4.4,1.4,x,1.1,x,3,x,2.3,x,x
,,,2021,4.3,x,3.9,1.5,x,0.9,x,2.4,x,1.9,x,x
,,25 years and over,2019,15.1,1.6,12.5,8.8,0.9,6.8,1.2,3.6,1.8,x,1.6,1.1
,,,2020,18.4,3.6,13.8,10.2,0.9,7.7,1.6,3.6,1.2,0.8,1.7,1
,,,2021,17,1.7,14.1,9.7,1.2,5.9,2.6,4.3,2,0.9,1.4,1.3
,,25 to 54 years,2019,9.4,1,7.8,5.6,0.7,4.2,0.7,2.2,1.1,x,0.8,0.6
,,,2020,11.8,2.3,9,6.5,0.5,5.1,0.9,2.6,0.8,0.8,1,0.5
,,,2021,10.7,0.9,8.8,5.9,0.8,3.4,1.7,2.9,1.3,0.9,0.6,0.9
,,55 years and over,2019,5.7,0.6,4.6,3.2,x,2.5,0.5,1.4,0.7,x,0.8,x
,,,2020,6.5,1.3,4.8,3.7,x,2.6,0.7,1.1,x,x,0.7,0.5
,,,2021,6.4,0.8,5.2,3.8,x,2.5,0.9,1.4,0.7,x,0.7,x
,,55 to 64 years,2019,4.5,0.6,3.5,2.5,x,2,x,1.1,0.5,x,0.6,x
,,,2020,5.3,1,3.9,3,x,2.2,0.5,0.8,x,x,0.5,0.5
,,,2021,4.7,0.6,3.7,2.8,x,1.8,0.7,0.9,x,x,0.5,x
,,65 years and over,2019,1.2,x,1.1,0.8,x,0.6,x,x,x,x,x,x
,,,2020,1.2,x,0.9,0.7,x,x,x,x,x,x,x,x
,,,2021,1.7,x,1.5,1,x,0.6,x,0.5,x,x,x,x
,Females,15 years and over,2019,12.3,1,10.4,5.7,1.3,4,x,4.7,2.1,1.6,1,0.9
,,,2020,15.4,3.6,10.9,5.3,0.8,4,0.5,5.6,2,2.2,1.3,0.9
,,,2021,14.4,0.6,12.9,7.1,1,4.5,1.6,5.7,2.5,1.9,1.3,0.9
,,15 to 24 years,2019,2.6,x,2.4,0.7,x,x,x,1.7,x,1.4,x,x
,,,2020,4.1,0.6,3.3,0.9,x,0.7,x,2.4,x,2,x,x
,,,2021,3,x,2.8,0.8,x,x,x,2,x,1.6,x,x
,,25 years and over,2019,9.7,0.9,8,5,1,3.6,x,3,1.9,x,0.9,0.7
,,,2020,11.3,2.9,7.5,4.4,0.5,3.3,0.5,3.1,1.9,x,1,0.8
,,,2021,11.3,0.6,10.1,6.3,0.7,4.1,1.5,3.7,2.2,x,1.2,0.7
,,25 to 54 years,2019,6.3,0.5,5.4,3.2,0.8,2.2,x,2.2,1.4,x,0.6,x
,,,2020,7.4,1.9,5,2.7,x,1.9,x,2.3,1.5,x,0.6,0.5
,,,2021,7.6,x,6.8,4.3,x,2.9,0.9,2.5,1.6,x,0.6,x
,,55 years and over,2019,3.4,x,2.7,1.8,x,1.4,x,0.8,0.5,x,x,x
,,,2020,3.9,1.1,2.5,1.7,x,1.4,x,0.8,x,x,x,x
,,,2021,3.7,x,3.2,2,x,1.3,0.5,1.2,0.6,x,0.6,x
,,55 to 64 years,2019,2.9,x,2.3,1.6,x,1.3,x,0.7,x,x,x,x
,,,2020,3.1,0.8,2,1.3,x,1.1,x,0.7,x,x,x,x
,,,2021,3,x,2.5,1.6,x,0.9,x,1,0.5,x,x,x
,,65 years and over,2019,x,x,x,x,x,x,x,x,x,x,x,x
,,,2020,0.8,x,0.5,x,x,x,x,x,x,x,x,x
,,,2021,0.7,x,0.7,0.5,x,x,x,x,x,x,x,x
Quebec,Males,15 years and over,2019,136.7,7.3,121.6,64.2,13,41.6,9.6,57.4,18.3,23.3,15.8,7.8
,,,2020,215.6,69.4,138.8,68.7,11.2,51.6,5.9,70,11.3,37.9,20.8,7.5
,,,2021,155.8,12.5,135.2,71,8.8,43,19.3,64.2,15.9,26.5,21.8,8.1
,,15 to 24 years,2019,31.9,x,29.2,7.5,3.1,3.6,x,21.7,2.9,15.3,3.5,1.5
,,,2020,60.6,15.6,43.6,9.7,2.6,6.6,x,33.9,1.7,28.6,3.7,x
,,,2021,34.7,1.9,30.8,7.5,2.1,4.7,x,23.4,1.6,18.7,3.1,2.1
,,25 years and over,2019,104.8,6.1,92.4,56.7,9.9,38,8.8,35.7,15.4,8,12.3,6.3
,,,2020,155,53.8,95.1,59,8.6,45,5.4,36.1,9.6,9.3,17.1,6.1
,,,2021,121.1,10.6,104.4,63.5,6.7,38.3,18.6,40.9,14.3,7.8,18.8,6.1
,,25 to 54 years,2019,74,4,65.4,40.2,8,26.8,5.4,25.2,9.6,7.7,8,4.6
,,,2020,109.7,35.6,69.8,41.1,7.1,31.6,2.4,28.7,8,9.1,11.6,4.3
,,,2021,84.8,6.5,74,44.4,4.8,26.8,12.9,29.6,11.1,7.5,11,4.3
,,55 years and over,2019,30.8,2.1,27,16.5,1.9,11.2,3.4,10.5,5.8,x,4.3,1.6
,,,2020,45.3,18.1,25.3,17.9,1.5,13.4,3,7.4,1.7,x,5.5,1.9
,,,2021,36.3,4.2,30.4,19.1,1.9,11.5,5.7,11.3,3.1,x,7.8,1.7
,,55 to 64 years,2019,25.1,1.5,22,14.4,1.8,9.4,3.2,7.6,3.9,x,3.4,1.6
,,,2020,35.3,12.8,20.7,14.6,x,10.6,2.7,6.2,1.5,x,4.4,1.9
,,,2021,28.1,2.9,23.5,14.3,x,8.9,4,9.1,3,x,5.8,1.7
,,65 years and over,2019,5.7,x,5,2.1,x,1.7,x,2.9,1.9,x,x,x
,,,2020,10,5.4,4.6,3.4,x,2.9,x,x,x,x,x,x
,,,2021,8.2,x,6.9,4.8,x,2.6,1.7,2.2,x,x,2,x
,Females,15 years and over,2019,96.4,2.5,87.7,33.5,8.4,18.9,6.2,54.2,21.4,21.7,11.1,6.2
,,,2020,182.5,67.6,108.6,47.9,8.8,33.8,5.3,60.7,16.1,29.9,14.7,6.4
,,,2021,122.6,12.6,103.7,45.9,6.3,23.9,15.7,57.8,21.9,20.7,15.2,6.3
,,15 to 24 years,2019,22.9,x,21,4.3,1.9,2,x,16.7,x,14.4,x,1.7
,,,2020,46.9,15.2,29.7,5.8,2.3,3.2,x,23.9,x,20.8,2.5,2.1
,,,2021,25.9,3.6,20.5,3.5,1.5,1.9,x,16.9,x,14.2,x,1.8
,,25 years and over,2019,73.6,2.4,66.8,29.2,6.6,16.9,5.7,37.5,20,7.3,10.2,4.5
,,,2020,135.6,52.4,78.9,42.1,6.5,30.6,4.9,36.8,15.4,9.2,12.2,4.3
,,,2021,96.7,9,83.3,42.4,4.8,22.1,15.6,40.9,20.5,6.6,13.8,4.5
,,25 to 54 years,2019,53.7,1.5,49,20,5.1,11.8,3,29,15.6,6.8,6.7,3.2
,,,2020,101.5,35,63,33.1,5.5,23.8,3.8,29.9,13.4,9.1,7.4,3.5
,,,2021,67.2,6.1,57.7,27.5,3.7,13.9,9.9,30.3,15.6,6.5,8.2,3.4
,,55 years and over,2019,19.8,x,17.7,9.3,x,5.1,2.7,8.5,4.5,x,3.5,x
,,,2020,34.1,17.4,15.9,9,x,6.8,x,6.9,2.1,x,4.7,x
,,,2021,29.5,2.9,25.5,14.9,x,8.1,5.7,10.6,4.9,x,5.6,x
